name,category,address,district,hours,lat,lng,rating,price,avg_bill,middle_avg_bill,middle_coffee_cup,chain,seats
Кафе,кафе,"Москва, улица Менжинского, 23, корп. 1",Северо-Восточный административный округ,,55.86998,37.659306,3.7,,,,,0,
"Булочная, пекарня",булочная,"Москва, Полярная улица, 1",Северо-Восточный административный округ,"ежедневно, круглосуточно",55.87144,37.637438,4.2,,,,,0,120.0
Чайхана Пловная,быстрое питание,"Москва, улица Лётчика Бабушкина, 30с1",Северо-Восточный административный округ,"ежедневно, круглосуточно",55.870064,37.676477,2.9,,,,,0,
Кафе,кафе,"Москва, проезд Дежнёва, 29, корп. 1",Северо-Восточный административный округ,,55.869896,37.629978,4.3,,,,,0,120.0
La Pausa,пиццерия,"Москва, проспект Мира, 211к1",Северо-Восточный административный округ,"ежедневно, 10:00–23:00",55.844192,37.663953,3.8,средние,Средний счёт:500–800 ₽,650.0,,0,
Дежнёв,столовая,"Москва, проезд Дежнёва, 1",Северо-Восточный административный округ,пн-пт 08:30–18:00,55.871141,37.649959,1.4,,,,,0,120.0
Cinnabon,кофейня,"Москва, проспект Мира, 211к2",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.845581,37.661306,2.6,,,,,1,
Скотина,ресторан,"Москва, улица Лётчика Бабушкина, 30, стр. 13",Северо-Восточный административный округ,"пн-чт 11:00–23:00; пт,сб 11:00–01:00",55.870582,37.676744,3.7,,,,,0,
Salad Bar,быстрое питание,"Москва, проспект Мира, 211к2",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.845164,37.661454,3.1,,Средний счёт:520–600 ₽,560.0,,0,
Saltenas,ресторан,"Москва, проспект Мира, 211, корп. 2",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.845101,37.667302,3.8,,Средний счёт:300–350 ₽,325.0,,0,273.0
Самса № 1,ресторан,"Москва, Изумрудная улица, 3с2",Северо-Восточный административный округ,"ежедневно, 09:00–21:00",55.869477,37.678218,3.3,средние,Средний счёт:200–600 ₽,400.0,,1,
Кафетерий,кафе,"Москва, проезд Серебрякова, 6",Северо-Восточный административный округ,,55.846919,37.651335,4.2,,,,,1,60.0
Кафе-столовая,столовая,"Москва, проезд Серебрякова, 14, стр. 17",Северо-Восточный административный округ,пн-пт 10:00–18:00,55.846941,37.655663,3.2,,,,,0,
Coffee&Croissant,кофейня,"Москва, проспект Мира, 119, стр. 525",Северо-Восточный административный округ,"ежедневно, 09:00–21:00",55.831099,37.625172,4.1,,,,,0,
Турист,ресторан,"Москва, Сельскохозяйственная улица, 17, корп. 3",Северо-Восточный административный округ,"пн-пт 07:00–16:00; сб,вс 07:00–11:00",55.837488,37.633871,4.1,,,,,0,130.0
Free&co,пиццерия,"Москва, проезд Дежнёва, 23",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.869924,37.636841,3.9,средние,Средний счёт:до 470 ₽,470.0,,1,20.0
Tasty Thai,ресторан,"Москва, проспект Мира, 211, корп. 1",Северо-Восточный административный округ,"ежедневно, 10:00–20:00",55.844035,37.662491,3.9,,,,,1,200.0
Яндекс Лавка,ресторан,"Москва, Будайский проезд, 1",Северо-Восточный административный округ,"ежедневно, 07:00–02:00",55.834932,37.664534,2.9,,,,,1,
Хинкальная Кера,кафе,"Москва, улица Лётчика Бабушкина, 30с1",Северо-Восточный административный округ,"ежедневно, 11:00–23:00",55.870452,37.677181,3.4,,,,,0,
Чао-пицца,пиццерия,"Москва, проспект Мира, 211, корп. 2",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.845307,37.660878,3.0,средние,Средний счёт:350–450 ₽,400.0,,1,273.0
Like burger&pizzetta,пиццерия,"Москва, проспект Мира, 211к2",Северо-Восточный административный округ,"ежедневно, 12:00–23:00",55.845068,37.667257,3.8,,,,,0,
Big City,кафе,"Москва, Берёзовая аллея, 5А, стр. 6",Северо-Восточный административный округ,"пн-пт 10:00–22:00; сб,вс 10:00–21:00",55.848422,37.619468,3.9,,,,,0,
Сандвич,столовая,"Москва, улица Искры, 17А, стр. 3",Северо-Восточный административный округ,пн-пт 09:00–18:00,55.862536,37.658937,2.9,,Средний счёт:200 ₽,200.0,,0,
Едаки,быстрое питание,"Москва, Северо-Восточный административный округ, Останкинский район, территория парка Останкино, Останкинская аллея",Северо-Восточный административный округ,"ежедневно, 11:00–20:00",55.826663,37.617357,3.4,,,,,0,
Ресторан,ресторан,"Москва, Енисейская улица, 19, корп. 1",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.869232,37.663048,4.5,,,,,0,112.0
Грузинская домашняя кухня,ресторан,"Москва, Лазоревый проезд, 1",Северо-Восточный административный округ,"ежедневно, 09:00–22:00",55.848747,37.639996,4.3,,,,,0,70.0
Zotman Pizza,пиццерия,"Москва, Изумрудная улица, 3с2",Северо-Восточный административный округ,"ежедневно, 11:00–23:00",55.869733,37.678065,3.5,,,,,1,
Кофейня,кофейня,"Москва, проспект Мира, 119с71",Северо-Восточный административный округ,,55.83004,37.633969,4.4,,,,,0,
DimSum & Co,ресторан,"Москва, проспект Мира, 211, корп. 2",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.84541,37.66046,1.1,,,,,1,273.0
Шоколадница,кофейня,"Москва, Лазоревый проезд, 1А, корп. 3",Северо-Восточный административный округ,"ежедневно, 08:00–23:00",55.847197,37.637798,4.9,,,,,1,
Мистер Пончик,быстрое питание,"Москва, проспект Мира, 119, стр. 178",Северо-Восточный административный округ,"ежедневно, 11:00–22:00",55.835949,37.628426,2.2,,,,,0,
Neapolitan Pizza,кафе,"Москва, Снежная улица, 13, корп. 1",Северо-Восточный административный округ,"ежедневно, 14:00–01:30",55.852202,37.645618,4.5,,,,,0,106.0
Плов центр,кафе,"Москва, проспект Мира, 119, стр. 520",Северо-Восточный административный округ,"ежедневно, 09:00–00:00",55.827146,37.631074,3.2,,,,,1,
На Перекус,кафе,"Москва, Снежная улица, 26",Северо-Восточный административный округ,,55.85515,37.653301,4.2,,,,,0,210.0
Кафе,кафе,"Москва, проспект Мира, 182",Северо-Восточный административный округ,,55.825637,37.647108,4.3,,,,,0,
Papaya Asian bistro,кафе,"Москва, проспект Мира, 167",Северо-Восточный административный округ,,55.836366,37.655792,3.2,,,,,0,
Арцеу,кафе,"Москва, проспект Мира, 119, стр. 614",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.8284,37.626507,4.5,,,,,0,
Вкусно,ресторан,"Москва, улица Докукина, 10, стр. 11",Северо-Восточный административный округ,"ежедневно, 10:00–23:00",55.8404,37.655512,4.1,,,,,0,
Скалка,булочная,"Москва, Берёзовая аллея, 17, корп. 2",Северо-Восточный административный округ,"ежедневно, 08:00–22:00",55.849691,37.620905,4.4,,,,,1,
Греки здесь,кафе,"Москва, проспект Мира, 119, стр. 47",Северо-Восточный административный округ,,55.837149,37.623993,3.8,,,,,0,
Домик в Саду,пиццерия,"Москва, проспект Мира, 119, стр. 512",Северо-Восточный административный округ,"ежедневно, 12:00–22:00",55.832524,37.631439,4.3,,,,,0,
Green V. A. I.,столовая,"Москва, улица Мусоргского, 3",Северо-Восточный административный округ,пн-пт 11:00–18:00,55.8628,37.61964,3.5,,,,,1,
Банг Банг,быстрое питание,"Москва, Снежная улица, 27",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.856062,37.653174,4.3,,,,,0,110.0
Моя история,ресторан,"Москва, проспект Мира, 119, стр. 57",Северо-Восточный административный округ,"ежедневно, 11:00–18:45",55.834168,37.626331,4.5,,,,,0,
Буханка,булочная,"Москва, Строгинский бульвар, 14, корп. 3",Северо-Западный административный округ,"ежедневно, 08:00–22:00",55.80301,37.400747,4.8,,,,,1,
The Buffet,кофейня,"Москва, улица Кулакова, 20, корп. 1",Северо-Западный административный округ,пн-пт 08:00–20:00,55.803189,37.390862,4.4,средние,Средний счёт:275–500 ₽,387.0,,0,239.0
Строгинская гавань,ресторан,"Москва, Строгинский бульвар, 21",Северо-Западный административный округ,"ежедневно, 11:00–02:00",55.80361,37.406074,4.3,выше среднего,Средний счёт:1000–1500 ₽,1250.0,,0,150.0
Сладкая параллель,пиццерия,"Москва, Таллинская улица, 26",Северо-Западный административный округ,"пн-пт 08:00–21:00; сб,вс 09:00–21:00",55.799267,37.407718,4.4,средние,Цена чашки капучино:130–170 ₽,,150.0,0,0.0
Кухня Полли,ресторан,"Москва, улица Маршала Катукова, 20",Северо-Западный административный округ,"ежедневно, 08:00–23:00",55.806614,37.407594,4.4,средние,Средний счёт:550–1500 ₽,1025.0,,1,55.0
Мужик у Плиты,"бар,паб","Москва, посёлок Рублёво, Новолучанская улица, 21",Западный административный округ,"ежедневно, 11:00–21:30",55.791385,37.357339,5.0,средние,Средний счёт:300–400 ₽,350.0,,0,
Кафе-пекарня,булочная,"Москва, Строгинский бульвар, 20",Северо-Западный административный округ,"ежедневно, 09:00–20:00",55.803563,37.401863,4.6,,,,,1,
Рожь Хлеб и Кофе,кофейня,"Москва, улица Маршала Катукова, 24, корп. 1",Северо-Западный административный округ,"пн-пт 08:00–21:00; сб,вс 09:00–21:00",55.804516,37.414555,4.5,средние,Средний счёт:от 500 ₽,500.0,,0,0.0
Транзит Времени,"бар,паб","Москва, улица Кулакова, 20, корп. 1",Северо-Западный административный округ,"ежедневно, 13:00–00:00",55.803189,37.390848,4.4,высокие,Средний счёт:1500–2500 ₽,2000.0,,0,239.0
КОФЕПОРТ,кофейня,"Москва, улица Кулакова, 20, корп. 1",Северо-Западный административный округ,пн-пт 08:00–18:30,55.802634,37.390547,4.3,,,,,1,239.0
Шоколадница,кофейня,"Москва, Строгинский бульвар, 1, корп. 2",Северо-Западный административный округ,"ежедневно, 08:00–23:00",55.805747,37.396303,4.2,,Цена чашки капучино:150–290 ₽,,220.0,1,70.0
Pioppo Albero,ресторан,"Москва, улица Маршала Катукова, 25",Северо-Западный административный округ,"ежедневно, 12:00–00:00",55.805448,37.414656,4.6,средние,Средний счёт:700–1500 ₽,1100.0,,0,90.0
Квартира Паб,"бар,паб","Москва, улица Маршала Катукова, 23",Северо-Западный административный округ,"пн-чт 14:00–01:00; пт,сб 14:00–04:00; вс 14:00–01:00",55.805725,37.413518,4.9,средние,Цена бокала пива:180–330 ₽,,,0,150.0
Vvvoffice,кафе,"Москва, улица Маршала Катукова, 10",Северо-Западный административный округ,пн-чт 11:00–01:00; пт 11:00–03:00; сб 14:00–03:00; вс 14:00–01:00,55.809287,37.40345,4.6,высокие,Средний счёт:700–3000 ₽,1850.0,,0,55.0
Роллы № 1,ресторан,"Москва, Таллинская улица, 7",Северо-Западный административный округ,"ежедневно, 11:45–22:30",55.800437,37.396275,4.3,,,,,0,10.0
Поместье-Парк,ресторан,"Москва, Таманская улица, вл46с1",Северо-Западный административный округ,"ежедневно, 11:00–23:00",55.790719,37.413718,4.4,высокие,Средний счёт:800–3000 ₽,1900.0,,0,
Пекарня Буханка,булочная,"Москва, улица Твардовского, 12, корп. 3",Северо-Западный административный округ,"ежедневно, 08:00–22:00",55.793181,37.400763,4.6,,,,,1,10.0
Маяк,ресторан,"Москва, улица Маршала Катукова, вл26А",Северо-Западный административный округ,"пн-пт 10:00–22:30; сб,вс 10:00–00:30",55.802202,37.420819,5.0,,,,,1,
Узген,кафе,"Москва, улица Маршала Катукова, 6",Северо-Западный административный округ,"ежедневно, круглосуточно",55.81037,37.40218,1.1,,,,,0,48.0
Delimarche,кафе,"Москва, улица Кулакова, 20, стр. 1Б",Северо-Западный административный округ,пн-пт 09:00–17:00,55.805667,37.391053,4.2,средние,Средний счёт:от 340 ₽,340.0,,1,60.0
Монастырская трапеза,столовая,"Москва, Одинцовская улица, 24с18",Северо-Западный административный округ,"ежедневно, 09:00–20:00",55.79062,37.40572,4.5,,,,,1,
Время Кофе,кофейня,"Москва, улица Маршала Прошлякова, 14, корп. 2",Северо-Западный административный округ,пн 08:00–18:00; вт-сб 07:00–19:00; вс 08:00–18:00,55.79216,37.390024,4.4,,,,,0,
Блинс кафе,кафе,"Москва, улица Маршала Прошлякова, 14, корп. 2",Северо-Западный административный округ,пн 08:00–19:00; вт-сб 07:00–19:00; вс 10:00–17:00,55.792223,37.389543,4.4,,,,,0,
Ресторан Берег,ресторан,"Москва, улица Исаковского, 37, корп. 2, стр. 1",Северо-Западный административный округ,"ежедневно, 08:00–00:00",55.804635,37.426341,4.4,выше среднего,Средний счёт:от 1500 ₽,1500.0,,0,246.0
Бистро,кафе,"Москва, Северо-Западный административный округ, район Строгино",Северо-Западный административный округ,"ежедневно, 10:00–20:30",55.797477,37.41228,4.9,,,,,0,
Ginger Cafe&FitnessBar,кафе,"Москва, улица Кулакова, 20, корп. 1",Северо-Западный административный округ,"ежедневно, 09:00–23:00",55.803043,37.389885,4.2,,,,,0,239.0
Яндекс.Лавка,ресторан,"Москва, Таллинская улица, 14",Северо-Западный административный округ,"ежедневно, 07:00–00:00",55.798612,37.400494,4.1,,,,,1,
Хачапури+Хинкали,кафе,"Москва, улица Кулакова, 18, корп. 1",Северо-Западный административный округ,"ежедневно, круглосуточно",55.806411,37.393649,4.4,,,,,0,239.0
Ресторан,ресторан,"Москва, улица Кулакова, 20, корп. 1",Северо-Западный административный округ,,55.802784,37.39068,4.4,,,,,0,239.0
Буханка,булочная,"Москва, улица Маршала Катукова, 6",Северо-Западный административный округ,"ежедневно, 08:00–22:00",55.810262,37.402304,4.5,,,,,1,48.0
I Do The Kitchen V. 2,"бар,паб","Москва, Волоколамское шоссе, 71, корп. 1",Северо-Западный административный округ,"ежедневно, 10:00–23:00",55.821288,37.432007,4.3,средние,Средний счёт:от 1000 ₽,1000.0,,0,320.0
Бургер Кинг,ресторан,"Москва, Строгинский бульвар, 1",Северо-Западный административный округ,"ежедневно, 10:00–21:55",55.806,37.3953,4.2,,Средний счёт:250–380 ₽,315.0,,1,55.0
Куры-гриль,кафе,"Москва, Строгинский бульвар, вл21с1",Северо-Западный административный округ,"ежедневно, круглосуточно",55.803435,37.406755,4.0,,,,,0,
Дом Хинкали,ресторан,"Москва, улица Исаковского, 31",Северо-Западный административный округ,"ежедневно, 11:00–23:00",55.806233,37.417678,4.2,высокие,Средний счёт:1500–2000 ₽,1750.0,,0,42.0
Wild Bean Cafe,кофейня,"Москва, МКАД, 65-й километр, 8",Северо-Западный административный округ,"ежедневно, круглосуточно",55.813787,37.390701,4.3,,,,,1,
Кафе 365,пиццерия,"Москва, Таманская улица, 10",Северо-Западный административный округ,"пн-пт 09:00–21:00; сб,вс 10:00–22:00",55.781619,37.437919,4.2,средние,Средний счёт:500–1200 ₽,850.0,,0,
Чайхана,ресторан,"Москва, Строгинский бульвар, 9",Северо-Западный административный округ,,55.805065,37.399806,4.0,,,,,1,24.0
Итальянский ресторан,ресторан,"Москва, улица Маршала Катукова, 25",Северо-Западный административный округ,"ежедневно, 10:00–22:00",55.805405,37.414214,4.6,,,,,0,90.0
Рублёвский Базар,пиццерия,"Москва, 2-я Мякининская улица, 50А, стр. 1",Западный административный округ,"пн-пт 10:00–23:00; сб,вс 11:00–23:00",55.809138,37.375383,4.3,,,,,0,
Кофе ХОД,кафе,"Москва, Волоколамское шоссе, 73",Северо-Западный административный округ,пн-пт 08:00–20:00,55.824858,37.429498,4.3,,,,,0,
Origin,кафе,"Москва, Волоколамское шоссе, 71, корп. 2",Северо-Западный административный округ,"ежедневно, 09:00–22:00",55.821267,37.430093,4.5,средние,Средний счёт:до 1000 ₽,1000.0,,0,188.0
Додо Пицца,пиццерия,"Москва, улица Кулакова, 9, корп. 1",Северо-Западный административный округ,"ежедневно, 09:00–23:00",55.811427,37.398949,4.3,,Средний счёт:363 ₽,363.0,,1,239.0
Столовая,кафе,"Москва, улица Маршала Катукова, 22",Северо-Западный административный округ,"ежедневно, 09:00–20:00",55.804074,37.410759,4.0,,Средний счёт:200–350 ₽,275.0,,0,60.0
Уют,быстрое питание,"Москва, улица Исаковского, 2к1",Северо-Западный административный округ,"ежедневно, 10:00–21:00",55.818549,37.397841,4.0,,,,,1,
Домино'с Пицца,пиццерия,"Москва, улица Маршала Катукова, 10",Северо-Западный административный округ,пн-чт 10:00–23:00; пт-вс 10:00–00:00,55.809362,37.403619,4.2,,Средний счёт:от 500 ₽,500.0,,1,55.0
Стардогс,быстрое питание,"Москва, улица Твардовского, 8к5",Северо-Западный административный округ,пн-сб 08:00–20:00,55.793419,37.388827,4.0,низкие,Средний счёт:150–200 ₽,175.0,,1,
Eat&Play,кафе,"Москва, улица Кулакова, 20, корп. 1",Северо-Западный административный округ,"ежедневно, 10:00–22:00",55.803479,37.390514,5.0,,,,,1,239.0
TuscanY Courtyard,ресторан,"Москва, улица Кулакова, 20, корп. 1",Северо-Западный административный округ,"ежедневно, 12:00–00:00",55.8029,37.3906,3.1,высокие,Средний счёт:1500–2500 ₽,2000.0,,0,239.0
КОФЕПОРТ,кофейня,"Москва, улица Кулакова, 20, стр. 1А",Северо-Западный административный округ,пн-пт 08:00–18:30,55.80457,37.392594,3.8,,,,,1,98.0
Столовая 33,кофейня,"Москва, Таманская улица, 33",Северо-Западный административный округ,"ежедневно, 08:30–21:00",55.780793,37.436796,4.5,средние,Средний счёт:150–300 ₽,225.0,,0,24.0
Кафе 24/7,кафе,"Москва, улица Маршала Прошлякова, 14к2",Северо-Западный административный округ,"ежедневно, круглосуточно",55.792202,37.389614,3.8,средние,Средний счёт:100–350 ₽,225.0,,0,
Суши Love,кафе,"Москва, Волоколамское шоссе, 71, корп. 4",Северо-Западный административный округ,"пн-пт 07:00–22:00; сб,вс 07:00–23:00",55.817966,37.430113,4.3,,,,,1,50.0
Афросиаб,кафе,"Москва, улица Маршала Катукова, 1",Северо-Западный административный округ,"ежедневно, 11:00–00:00",55.813855,37.3935,3.9,,Средний счёт:1000 ₽,1000.0,,0,0.0
ПекарняУз,ресторан,"Москва, Таллинская улица, 26",Северо-Западный административный округ,,55.800123,37.407882,4.3,,,,,0,0.0
Sport Bar,кафе,"Москва, Волоколамское шоссе, 69",Северо-Западный административный округ,,55.81782,37.439194,4.2,,,,,0,180.0
Кафе,кафе,"Москва, улица Твардовского, 8, корп. 4",Северо-Западный административный округ,,55.793617,37.39044,3.7,,,,,0,12.0
Бургер Кинг,ресторан,"Москва, улица Маршала Катукова, 23",Северо-Западный административный округ,"ежедневно, 08:00–23:55",55.805617,37.413121,4.2,средние,Средний счёт:250–380 ₽,315.0,,1,150.0
Центральное,кафе,"Москва, памятник природы Серебряный бор",Северо-Западный административный округ,"ежедневно, 10:00–22:00",55.77882,37.406284,5.0,,,,,0,
CoffeLab,кофейня,"Москва, улица Маршала Катукова, 26",Северо-Западный административный округ,"ежедневно, 09:00–18:00",55.801509,37.414147,3.8,,Средний счёт:250–270 ₽,260.0,,0,
Ресторан,ресторан,"Москва, улица Маршала Катукова, 25",Северо-Западный административный округ,"ежедневно, 10:00–22:00",55.805424,37.41489,4.6,,,,,0,90.0
Sushime,кафе,"Москва, улица Маршала Катукова, 18",Северо-Западный административный округ,,55.806592,37.406389,2.4,,,,,0,
Халва,кафе,"Москва, улица Кулакова, 10, корп. 1",Северо-Западный административный округ,,55.811781,37.397261,4.4,,,,,1,239.0
Сити Пицца,пиццерия,"Москва, улица Исаковского, 33, корп. 3",Северо-Западный административный округ,"ежедневно, 10:00–23:00",55.804871,37.420036,4.0,средние,Средний счёт:450–500 ₽,475.0,,1,246.0
Кафе,кафе,"Москва, Северо-Западный административный округ, район Строгино",Северо-Западный административный округ,"ежедневно, 12:00–22:00",55.797162,37.412257,4.4,,,,,0,
Шаурма,кафе,"Москва, улица Кулакова, 10, корп. 1",Северо-Западный административный округ,,55.81176,37.397228,4.3,,,,,0,239.0
Песок,кафе,"Москва, 4-я линия Хорошёвского Серебряного Бора, 11Б",Северо-Западный административный округ,"ежедневно, 09:00–21:00",55.777716,37.406724,4.3,,Средний счёт:2900 ₽,2900.0,,0,
Настоящие хот-доги,кафе,"Москва, Северо-Западный административный округ, район Строгино",Северо-Западный административный округ,"пн-пт 11:00–19:00; сб,вс 11:00–20:00",55.801435,37.417345,3.9,,,,,0,
Шатер Адмирал,кафе,"Москва, 4-я линия Хорошёвского Серебряного Бора, вл111",Северо-Западный административный округ,"ежедневно, 09:00–21:00",55.78005,37.405438,4.1,,,,,0,
Суши Wok,кафе,"Москва, посёлок Рублёво, улица Василия Ботылёва, 14А",Западный административный округ,"ежедневно, 10:00–23:00",55.787938,37.355651,4.5,,,,,1,
Deli2Go,быстрое питание,"Москва, улица Маршала Прошлякова, 11",Северо-Западный административный округ,,55.788906,37.389214,3.8,,,,,1,
Blink Seafood,ресторан,"Москва, 4-я линия Хорошёвского Серебряного Бора, 7, стр. 1",Северо-Западный административный округ,вт-вс 12:00–00:00,55.781127,37.405287,3.3,,,,,0,
Кафе,кафе,"Москва, 4-я линия Хорошёвского Серебряного Бора, 11Б",Северо-Западный административный округ,,55.777648,37.406608,3.2,,,,,0,
Шаурма,быстрое питание,"Москва, 2-я Мякининская улица, 20",Западный административный округ,"ежедневно, 09:00–22:00",55.805264,37.374702,3.7,,,,,0,
The wild bean cafe,ресторан,"Москва, улица Исаковского, 37к1с1",Северо-Западный административный округ,"ежедневно, круглосуточно",55.804624,37.424788,4.4,,,,,1,
Drive Cafe,кафе,"Москва, Северо-Западный административный округ, район Строгино",Северо-Западный административный округ,,55.79209,37.391216,3.7,,,,,0,
Стрит ФУД,быстрое питание,"Москва, улица Маршала Прошлякова, 14, корп. 2",Северо-Западный административный округ,,55.791977,37.389507,3.8,,,,,0,
Шикер Люляш-кебап,ресторан,"Москва, Северо-Западный административный округ, район Строгино",Северо-Западный административный округ,пт-вс круглосуточно,55.807413,37.424888,4.5,,,,,0,
Ресторан & бар Бокас Дель Торо,"бар,паб","Москва, улица Маршала Рыбалко, 18, корп. 1",Северо-Западный административный округ,"пн-чт 12:00–00:00; пт,сб 12:00–01:00; вс 12:00–00:00",55.79991,37.484745,4.6,выше среднего,Средний счёт:1000–1500 ₽,1250.0,,0,95.0
Колбасофф,"бар,паб","Москва, улица Маршала Бирюзова, 32",Северо-Западный административный округ,"ежедневно, 12:00–00:00",55.799338,37.483007,4.5,средние,Средний счёт:700–1000 ₽,850.0,,1,174.0
АндерСон,кафе,"Москва, улица Маршала Бирюзова, 32",Северо-Западный административный округ,"пн-пт 08:30–22:00; сб,вс 10:00–22:00",55.799348,37.482991,4.3,выше среднего,Средний счёт:1500 ₽,1500.0,,1,174.0
Жираф,кафе,"Москва, 1-й Волоколамский проезд, 10, стр. 1",Северо-Западный административный округ,пн-пт 08:00–20:00,55.804534,37.48964,4.3,средние,Средний счёт:350–550 ₽,450.0,,1,100.0
БарБариста,кофейня,"Москва, улица Маршала Бирюзова, 16",Северо-Западный административный округ,пн-пт 06:30–21:30; сб 07:30–21:30; вс 08:30–21:30,55.794433,37.492202,4.8,,Цена чашки капучино:109–169 ₽,,139.0,1,14.0
Траттория Иль Тортеллино,пиццерия,"Москва, улица Маршала Бирюзова, 22, корп. 1",Северо-Западный административный округ,"ежедневно, 11:00–23:00",55.795947,37.48952,4.5,выше среднего,Средний счёт:2000 ₽,2000.0,,0,60.0
Булочная № 5,кофейня,"Москва, улица Маршала Бирюзова, 28",Северо-Западный административный округ,"ежедневно, 09:00–22:00",55.797498,37.486291,4.4,,,,,1,10.0
Чебуречная СССР,"бар,паб","Москва, Волоколамское шоссе, 15/22",Северный административный округ,"ежедневно, 11:00–23:00",55.80876,37.493949,4.5,средние,Средний счёт:80–340 ₽,210.0,,1,60.0
TaAm hummus bar,"бар,паб","Москва, Волоколамское шоссе, 6",Северный административный округ,"ежедневно, 10:00–23:00",55.808335,37.500212,4.6,средние,Средний счёт:500–800 ₽,650.0,,0,
Botteganova Organic,ресторан,"Москва, улица Маршала Рыбалко, 2, корп. 9",Северо-Западный административный округ,"ежедневно, 10:00–22:30",55.798499,37.496685,4.6,выше среднего,Средний счёт:1000–1500 ₽,1250.0,,0,
Surf Coffee x Flat,кофейня,"Москва, улица Маршала Бирюзова, 18",Северо-Западный административный округ,"пн-пт 08:00–22:00; сб,вс 09:00–22:00",55.795065,37.491459,4.5,средние,Цена чашки капучино:149–199 ₽,,174.0,0,
Трактир,кафе,"Москва, улица Врубеля, 13А, стр. 2",Северный административный округ,"ежедневно, 10:00–23:00",55.803944,37.498981,4.3,,,,,1,60.0
Трактир,кафе,"Москва, улица Врубеля, 13А",Северный административный округ,"ежедневно, 10:00–23:00",55.804015,37.498888,4.3,,,,,1,20.0
КОФЕПОРТ,кофейня,"Москва, 1-й Волоколамский проезд, 10",Северо-Западный административный округ,пн-пт 08:00–18:30,55.802946,37.490804,4.2,,,,,1,
Сонаму,ресторан,"Москва, улица Маршала Василевского, 3, корп. 1",Северо-Западный административный округ,"ежедневно, 11:00–23:00",55.803079,37.473222,4.5,,,,,0,150.0
Уголок,кофейня,"Москва, улица Космонавта Волкова, 6А",Северный административный округ,"пн-пт 08:00–21:00; сб,вс 09:00–21:00",55.815341,37.513262,5.0,,,,,1,180.0
Kvartal Green Garden,"бар,паб","Москва, улица Маршала Рыбалко, 2, корп. 8",Северо-Западный административный округ,"ежедневно, 10:00–23:00",55.797182,37.497095,4.4,средние,Средний счёт:до 1000 ₽,1000.0,,0,80.0
Вкус Востока,кафе,"Москва, улица Максимова, 18",Северо-Западный административный округ,"ежедневно, 08:00–00:00",55.796662,37.465258,4.4,,,,,1,40.0
Sattva,кафе,"Москва, улица Куусинена, 19А",Северный административный округ,"ежедневно, 09:00–21:00",55.78823,37.511344,4.6,,,,,1,20.0
Кафе Березовая роща,кафе,"Москва, улица Куусинена, 8А",Северный административный округ,"ежедневно, 11:00–01:00",55.788867,37.512577,4.6,,,,,0,100.0
У мангала,ресторан,"Москва, улица Маршала Бирюзова, 1, стр. 1",Северо-Западный административный округ,"пн-чт 11:00–00:00; пт,сб 11:00–06:00; вс 11:00–00:00",55.789677,37.499885,4.4,выше среднего,Средний счёт:1000–1500 ₽,1250.0,,0,60.0
Кафе,кафе,"Москва, улица Маршала Бирюзова, 32, корп. 1",Северо-Западный административный округ,,55.798904,37.484978,4.3,,,,,0,60.0
Ресторан Cafe de Arts,ресторан,"Москва, улица Маршала Соколовского, 5",Северо-Западный административный округ,"ежедневно, 11:00–23:00",55.792891,37.488363,4.4,выше среднего,Средний счёт:1000–1500 ₽,1250.0,,0,76.0
Ача-чача,ресторан,"Москва, Старопетровский проезд, 2, стр. 3",Северный административный округ,"ежедневно, 12:00–00:00",55.820501,37.500883,4.7,высокие,Средний счёт:1500–2000 ₽,1750.0,,0,
Хинкальная,кафе,"Москва, улица Маршала Бирюзова, 16",Северо-Западный административный округ,пн-сб 11:00–22:00,55.794658,37.491749,4.3,средние,Средний счёт:300–500 ₽,400.0,,1,14.0
Шоколадница,кофейня,"Москва, улица Маршала Бирюзова, 32",Северо-Западный административный округ,"ежедневно, 09:00–22:00",55.799797,37.48361,4.0,средние,Цена чашки капучино:239–274 ₽,,256.0,1,174.0
Pique-Nique,кофейня,"Москва, 3-я Радиаторская улица, 9",Северный административный округ,"ежедневно, 09:00–22:00",55.818584,37.490628,5.0,низкие,Цена чашки капучино:170–220 ₽,,195.0,0,
Стамбул Дурум,кофейня,"Москва, улица Народного Ополчения, 22",Северо-Западный административный округ,"ежедневно, 11:00–23:00",55.778556,37.479573,5.0,средние,Средний счёт:250–300 ₽,275.0,,0,
Буффало,"бар,паб","Москва, улица Панфилова, 12",Северный административный округ,"ежедневно, 11:00–23:00",55.804036,37.496017,4.3,,,,,0,46.0
The Море,"бар,паб","Москва, улица Маршала Тухачевского, 49",Северо-Западный административный округ,"ежедневно, 12:00–00:00",55.785169,37.464646,4.7,,,,,0,40.0
